CountryCode,SeriesCode,Description
QAT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PRK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NPL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
STP,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SUR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SWZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
RWA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SAU,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SLB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SLE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SLV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SMR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SOM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MWI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MYS,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NAM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NER,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NGA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NIC,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MNG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MOZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MRT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MMR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MAR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MCO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LSO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LBR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LBY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LCA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LIE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MDG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MDV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MEX,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MHL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MKD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MLI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MAC,SP.POP.TOTL,Data sources : United Nations World Population Prospects
IRN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KHM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KIR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KNA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KWT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LAO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GHA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GIN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GMB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GNB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GNQ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GRD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GTM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GUY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
IDN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
IMY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
IND,SP.POP.TOTL,Data sources : United Nations World Population Prospects
HTI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
HND,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BLZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BHR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BHS,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BIH,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BOL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BTN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BWA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CAF,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BDI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BFA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BGD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ATG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ABW,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ADO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AFG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CIV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CMR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
COG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
COL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
COM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CPV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CRI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CUB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
DJI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
DMA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CHL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CYM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
FRO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
FSM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GAB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
FJI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
DOM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
DZA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ECU,SP.POP.TOTL,Data sources : United Nations World Population Prospects
EGY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ERI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ETH,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CYP,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LBN,SP.POP.TOTL,"Data sources : United Nations World Population Prospects, UNHCR. Adjusted with Syrian refugees 2011 onwards."
IRQ,SP.POP.TOTL,"Data sources : United Nations World Population Prospects, UNHCR. Adjusted with Syrian refugees 2011 onwards."
SYR,SP.POP.TOTL,"Data sources : United Nations World Population Prospects, UNHCR. Adjusted with Syrian refugees 2011 onwards."
SDN,SP.POP.TOTL,Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.
WBG,SP.POP.TOTL,"Data sources : World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem."
GEO,NY.GDP.PCAP.KD,Excludes Abkhazia and South Ossetia.
MDA,NY.GDP.PCAP.KD,Excludes Transnistria.
MAR,NY.GDP.PCAP.KD,Includes Former Spanish Sahara.
